major_id,major_cname,major_name,major_cabbr,major_type
EE,電機工程學系,Electrical Engineering,電機,EE
EECS,電機資訊學院學士班,Electrical Engineering and Computer Science,電資,CS
ECE,電機資訊學士系,Electrical Engineering and Computer Engineering,電機,EE
CE,電機工程學系,Computer Engineering,電機,CE
CSIE,資訊工程學系,Computer Science and Information Engineering,資工,CS
CS,資訊工程學系,Computer Science,資工,CS
CSE,資訊工程學系,Computer Science,資科,CS
GINM,資訊網路與多媒體研究所,Networking and Multimedia,網媒,CS
GICE,電信工程學研究所,Communication Engineering,電信,EE
GIEE,電子工程學研究所,Electronics Engineering,電子,EE
EEE,電子工程學研究所,Electronic Engineering,電子,EE
IM,資訊管理學系,Information Management,資管,IM
MIS,資訊管理學系,Management Information System,資管,IM
OE,光電工程學研究所,Photonics and Optoelectronics,光電,EE
STAT,統計系,Statistics,統計,STAT
MATH,數學系,Mathematics,數學,MATH
PHYS,物理學系,Physics,物理,PHYS
GMBA,管理學院企業管理碩士專班,Global MBA,GMBA,MBA
MBA,商學研究所,Master of Business Administration,商研,MBA
MSA,量測系統分析,Master of Science in Analytics,量測系統分析,MBA
MSBA,商業分析所,Master of Science in Business Analytics,商業分析,MBA
MFA,藝術創作碩士,Master of Fine Arts,藝術,ART
JD,法律博士,JD,法律博士,LAW
LLM,法學碩士,LLM,法學碩士,LAW
CHEME,化學工程學系,Chemical Engineering,化工,CHEME
CHEM,化學系,Chemistry,化學,CHEM
CIE,土木工程學系,Civil Engineering,土木,CIE
ME,機械工程學系,Mechanical Engineering,機械,ME
ESOE,工程科學及海洋工程學系,Engineering Science and Ocean Engineering,工海,ESOE
MSE,材料科學與工程學系,Materials Science and Engineering,材料,MSE
BME,生物產業機電工程學系,Bio-industrial Mechatronics Engineering,生機,BME
BIOE,生物工程,Bioengineering,生物工程,BIO
LAW,法律學系,Law,法律系,LAW
SCM,供應鏈管理,Supply Chain Management,供應鏈,SCM
LAWILS,科際整合法律學研究所,Interdisciplinary Legal Studies,科法所,LAW
MPH,公共衛生碩士學位學程,Master of Public Health Degree Program,公衛所,MED
HPM,健康政策與管理研究所,Health Policy and Management,健管所,MED
EPM,流行病學與預防醫學研究所,Epidemiology and Preventive Medicine,流病所,MED
LS,生命科學系,Life Science,生科,LS
ECON,經濟學系,Economics,經濟,ECON
BST,生化科技學系,Biochemical Science and Technology,生化,BIO
BA,工商管理學系,Business Administration,工管,MBA
BM,企業管理學系,Business Management,企管,MBA
ACC,會計學系,Accounting,會計,FIN
