uni_name|uni_id|uni_cname|uni_location|uni_cabbr|ip
National Taiwan University|NTU|國立臺灣大學|Daan District, Taipei|台大|112
National Tsing Hua University|NTHU|國立清華大學|East District, Hsinchu|清大|114
National Chiao Tung University|NCTU|國立交通大學|East District, Hsinchu|交大|113
National Chengchi University|NCCU|國立政治大學|Wenshan District, Taipei|政大|119
National Cheng Kung University|NCKU|國立成功大學|East District, Tainan|成大|116
National Central University|NCU|國立中央大學|Zhongli District, Taoyuan City|中央|115
National Chi Nan University|NCNU|國立暨南國際大學|Puli Township, Nantou County||
National Chiayi University|NCYU|國立嘉義大學|Chiayi City|嘉大|
National Chung Cheng University|CCU|國立中正大學|Minxiong Township, Chiayi County|中正|123
National Chung Hsing University|NCHU|國立中興大學|South District, Taichung|中興|120
National Dong Hwa University|NDHU|國立東華大學|Shoufeng Township, Hualien County|東華|
National Ilan University|NIU|國立宜蘭大學|Yilan City, Yilan County||
National Pingtung University|NPTU|國立屏東大學|Pingtung City, Pingtung County||
National Quemoy University|NQU|國立金門大學|Jinning Township, Kinmen||
National Sun Yat-sen University|NSYSU|國立中山大學|Gushan District, Kaohsiung|中山|117
National Taipei University|NTPU|國立臺北大學|Sanxia District, New Taipei|北大|
National Taitung University|NTTU|國立臺東大學|Taitung City, Taitung County||
National Taiwan Ocean University|NTOU|國立臺灣海洋大學|Zhongzheng District, Keelung|海大|
National United University|NUU|國立聯合大學|Miaoli City, Miaoli County||
National University of Tainan|NUTN|國立臺南大學|West Central District, Tainan||
National Yang-ming University|NYMU|國立陽明大學|Beitou District, Taipei|陽明|
National University of Kaohsiung|NUK|國立高雄大學|Nanzih District, Kaohsiung||
University of Taipei|UT_|臺北市立大學|Zhongzheng District, Taipei||
National Changhua University of Education|NCUE|國立彰化師範大學|Changhua City, Changhua County|彰師大|
National Kaohsiung Normal University|NKNU|國立高雄師範大學|Lingya District, Kaohsiung|高師大|
National Taichung University of Education|NTCU|國立臺中教育大學|West District, Taichung||
National Taipei University of Education|NTUE|國立臺北教育大學|Daan District, Taipei|北教大|
