AECOM|Albert Einstein College of Medicine
AFA|United States Air Force Academy
Annapolis|U.S. Naval Academy
A&M|Texas A&M University
A&M-CC|Texas A&M University-Corpus Christi
A&T|North Carolina A&T State University
Newport News|Apprentice School
APSU|Austin Peay State University
ALASU|Alabama State University
Army|U.S. Military Academy
ASU|Alabama State University, Albany State University, Alcorn State University, Angelo State University, Appalachian State University, Arizona State University $, Arkansas State University, Augusta State University, Armstrong State University
AU|Adelphi University, Alfred University, American University, Anderson University, Asbury University, Auburn University $, Ashford University, Arcadia University, AUGUSTA UNIVERSITY
AUM|Auburn University Montgomery
Bama|University of Alabama
BC|Boston College, Bethel College
Berkeley|University of California @ Berkeley
BGSU|Bowling Green State University
BHSU|Black Hills State University
BJU|Bob Jones University
BMC|Bryn Mawr College
Bona|St. Bonaventure University
Brown|Brown University
BSC|Birmingham-Southern College
BSU|Ball State University, Boise State University, Bemidji State University, Bowie State University $
BU|Baylor University, Belmont University, Binghamton University, Biola University, Boston University $, Bradley University, Butler University
BYU|Brigham Young University
CBU|California Baptist University
C of C|College of Charleston
Cal|University of California @ Berkeley
Cal Poly|California Polytechnic State University, San Luis Obispo
Cal Poly Pomona|California State Polytechnic University @ Pomona
Caltech|California Institute of Technology
Cal U|California University of Pennsylvania
Cal State|California State University
Carolina|University of North Carolina at Chapel Hill $, University of South Carolina
Catholic|Catholic University of America
Central|Central State University, North Carolina Central University
CC|Colorado College
CCNY|City College of New York
CCSU|Central Connecticut State University
CCU|Coastal Carolina University
CCV|Community College of Vermont
CGU|Claremont Graduate University
Chapel Hill|University of North Carolina at Chapel Hill
Charlotte|University of North Carolina at Charlotte
Chatt or Chattanooga|University of Tennessee at Chattanooga
Chatt State|Chattanooga State Community College
Chico State|California State University @ Chico
City Tech|New York City College of Technology
CIA|The Culinary Institute of America
CMC|Claremont McKenna College
CMU|Carnegie Mellon University
Carnegie Mellon|Carnegie Mellon University
CMU-SV|CMU Silicon Valley
CMU SV|CMU Silicon Valley
CMUSV|CMU Silicon Valley
CNU|Christopher Newport University
Coast Guard|United States Coast Guard Academy
College Park|University of Maryland @ College Park
Colorado|University of Colorado Boulder
Colorado Springs|University of Colorado Colorado Springs
CSB|College of Saint Benedict
SJU|Saint John's University
CSI|College of Staten Island
CSU|California State University $, Cleveland State University, Colorado State University, Clayton State University, Coppin State University, Clark Summit University, Chicago State University
CSUF|California State University @ Fresno
CSUEB|California State University @ East Bay
CSULA|California State University @ Los Angeles
CSU-Pueblo|Colorado State University-Pueblo
CSUS|California State University @ Sacramento
CU|Chapman University, Clemson University, University of Colorado at Boulder $, Columbia University, Cornell University, Creighton University
CT|Cornell Tech
CUA|Catholic University of America
Cumberlands|University of the Cumberlands
CUNY|City University of New York
DC|Dartmouth College, Davidson College
De Anza|De Anza College
DPU|DePaul University
DSU|DeSales University, Dakota State University
DU|Denison University, University of Denver, Drake University, Drexel University, Duke University, Duquesne University
Duke|Duke University
ECU|East Carolina University
EIU|Eastern Illinois University
EMU|Eastern Mennonite University
EMU|Eastern Michigan University
ENC|Eastern Nazarene College
EMORY|Emory University
ETSU|East Tennessee State University
EWU|Eastern Washington University
EKU|Eastern Kentucky University
F&M|Franklin & Marshall College
FAMU|Florida A&M University
FAU|Florida Atlantic University
FC|Founders College
FDU|Fairleigh Dickinson University
FGCU|Florida Gulf Coast University
FIT|Fashion Institute of Technology
Florida Tech|Florida Institute of Technology
FIU|Florida International University
Foothill|Foothill College
FPU|Fresno Pacific University
Fresno State|California State University @ Fresno
FSU|Fayetteville State University, Ferris State University, Fitchburg State University, Florida State University $, Framingham State University, California State University @ Fresno, Frostburg State University
FU|Fordham University
GB|University of Wisconsin-Green Bay
GCSU|Georgia College & State University
GCU|Grand Canyon University
Georgia College|Georgia College & State University
GMU|George Mason University
Georgia Tech|Georgia Institute of Technology
GaTech|Georgia Institute of Technology
Gatech|Georgia Institute of Technology
Ga-Tech|Georgia Institute of Technology
GWU|George Washington University
GGC|Georgia Gwinnett College
GONZ|Gonzaga University
GSU|Georgia Southern University, Georgia State University $, Grambling State University
GT|Georgia Institute of Technology
GVSU|Grand Valley State University
GW|Gardner Webb University
HIU|Hampton University
HMC|Harvey Mudd College
Hopkins|Johns Hopkins University
HU|Howard University
HU|Hampton University
Harvard|Harvard University
HSU|Humboldt State University
IC|Ithaca College
IIT|Illinois Institute of Technology
IPFW|Indiana University-Purdue University Fort Wayne
ISU|Idaho State University, Illinois State University, Indiana State University, Iowa State University $
IU|Indiana University Bloomington
IUB|Indiana University Bloomington
IUP|Indiana University of Pennsylvania
IUPUI|Indiana University-Purdue University Indianapolis
IWU|Illinois Wesleyan University
IW|Iowa Wesleyan University
JHU|Johns Hopkins University
JMU|James Madison University
JWU|Johnson and Wales University
JSU|Jackson State University
JU|Jacksonville University
K-State|Kansas State University
KSU|Kansas State University, Kennesaw State University $, Kent State University, Kentucky State University
KU|University of Kansas
KU|Kutztown University of Pennsylvania
LA Tech|Louisiana Tech University
LC|Louisburg College
LHU|Lock Haven University
LIU|Long Island University
LMU|Lincoln Memorial University, Loyola Marymount University
Long Beach State|California State University @ Long Beach
LSU|La Salle University, Louisiana State University $
LSSU|Lake Superior State University
LTU|Lawrence Technological University, Lawrence Tech
LU|Liberty University, Lipscomb University, Lehigh University
LUC|Loyola University Chicago
Madison|James Madison University, University of Wisconsin-Madison $
Mary Wash|University of Mary Washington
Maryland|University of Maryland @ College Park
Mason|George Mason University
MCLA|Massachusetts College of Liberal Arts
Memphis|University of Memphis
Merchant Marine, Kings Point|U.S. Merchant Marine Academy
Metro State|Metropolitan State College of Denver
